"","target_id","sample","est_counts","tpm","eff_len","len","resistance_profile","treatment"
"29","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22182subaTZ-xx-uu-USA-xxxx-077-JB_S10",2245.2253328448,97.2584572096219,11910.5096085999,12992,"resistant","Tz"
"30","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22182subbTX-xx-uu-USA-xxxx-077-JB_S8",1511.56433521272,65.388456186881,11860.0952108828,12992,"resistant","Tx"
"31","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22182subbTZ-xx-uu-USA-xxxx-077-JB_S11",1661.82881844486,71.9235822035708,11917.1893787306,12992,"resistant","Tz"
"32","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22182subcTX-xx-uu-USA-xxxx-077-JB_S9",2276.80072860361,98.4652621610097,11932.0017494124,12992,"resistant","Tx"
"33","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22182subcTZ-xx-uu-USA-xxxx-077-JB_S12",2380.75695979511,102.023835427131,11892.4145989082,12992,"resistant","Tz"
"34","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22627aTX-xx-uu-USA-xxxx-077-JB_S4",1766.10135582619,77.5144094352413,11711.6072441271,12992,"susceptible","none"
"35","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22627bTX-xx-uu-USA-xxxx-077-JB_S5",1895.67491947879,81.9376641160643,11870.3448971309,12992,"susceptible","none"
"36","NODE_1_length_12992_cov_71.0619_g0_i0","ACS-TG22627cTX-xx-uu-USA-xxxx-077-JB_S6",3265.83847631148,141.763121648833,11890.470009196,12992,"susceptible","none"
"37","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182aTX-xx-uu-USA-xxxx-077-JB_S1",643.712304992388,26.4064033937619,12496.4771329576,13411,"resistant","none"
"38","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182bTX-xx-uu-USA-xxxx-077-JB_S2",273.864733977094,11.2047094596687,12551.5641989617,13411,"resistant","none"
"39","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182cTX-xx-uu-USA-xxxx-077-JB_S3",2777.78872054683,114.358635378315,12494.9183729455,13411,"resistant","none"
"40","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182subaTX-xx-uu-USA-xxxx-077-JB_S7",679.775346138124,27.7967604720501,12581.9832789912,13411,"resistant","Tx"
"41","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182subaTZ-xx-uu-USA-xxxx-077-JB_S10",366.743747840912,14.9863260796879,12625.9866890075,13411,"resistant","Tz"
"42","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182subbTX-xx-uu-USA-xxxx-077-JB_S8",68.4269016760744,2.79499226757889,12560.5566944351,13411,"resistant","Tx"
"43","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182subbTZ-xx-uu-USA-xxxx-077-JB_S11",1105.27615424475,45.2624413277893,12594.8120236617,13411,"resistant","Tz"
"44","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182subcTX-xx-uu-USA-xxxx-077-JB_S9",7146.06324286037,292.354851442865,12613.2754066232,13411,"resistant","Tx"
"45","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22182subcTZ-xx-uu-USA-xxxx-077-JB_S12",446.601458491002,18.1076525646728,12569.4017882957,13411,"resistant","Tz"
"46","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22627aTX-xx-uu-USA-xxxx-077-JB_S4",648.688623920668,26.6721690108844,12501.4752550881,13411,"susceptible","none"
"47","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22627bTX-xx-uu-USA-xxxx-077-JB_S5",72.7360375193397,2.96561053550171,12583.9960869787,13411,"susceptible","none"
"48","NODE_1_length_13411_cov_131.438_g0_i0","ACS-TG22627cTX-xx-uu-USA-xxxx-077-JB_S6",2243.53587347654,91.9279869801279,12596.586010843,13411,"susceptible","none"
"49","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182aTX-xx-uu-USA-xxxx-077-JB_S1",20.8590780682226,0.763594228411282,14003.5295960063,13825,"resistant","none"
"50","NODE_1_length_13825_cov_3929.69_g0_i0","ACS-TG22182bTX-xx-uu-USA-xxxx-077-JB_S2",29.4053273932217,1.07759291770913,14013.0809600046,13825,"resistant","none"
